"","RID","GroupAssignment","Age_Yrs","Year_of_Study","Live_Pets","Consumer_BARK","Stage","PANAS_PA","SHS","SCS","Engagement","FS","Stress","Homesick","Lonely","PANAS_NA","diff","Group"
"193",193,"Control",21,3,1,1,"post",4.6,3.66666666666667,5.2,3,5.875,3,1,1.85,1.2,-0.25,"Control"
"194",194,"Direct",23,4,1,1,"post",2.6,3.33333333333333,5.45,1,6.625,2,1,1.5,1.4,-0.25,"Direct"
"195",195,"Indirect",22,3,1,1,"post",3,4.33333333333333,4.75,3,6.125,4,1,2.2,2.6,0.4,"Indirect"
"196",196,"Control",24,5,1,1,"post",2.6,3.33333333333333,4.2,2,5,4,1,1.9,1.8,0.2,"Control"
"197",197,"Direct",19,2,2,1,"post",2.4,4,5.25,2,6.5,1,1,1.7,1,-0.1,"Direct"
"198",198,"Indirect",20,2,2,2,"post",1.8,4.33333333333333,4.15,2,5.875,3,4,2,1.8,0.15,"Indirect"
"199",199,"Control",19,2,2,3,"post",3.6,3.66666666666667,5.1,1,5.625,3,1,1.6,2.2,0.05,"Control"
"200",200,"Direct",22,1,2,2,"post",2.4,2.66666666666667,3.21052631578947,3,4.75,3,1,2.75,1.6,0.3,"Direct"
"201",201,"Indirect",28,5,1,1,"post",3,3,3.6,3,4.75,1,1,2.55,1.2,-0.0289473684210528,"Indirect"
"202",202,"Control",21,3,2,1,"post",1.6,2.66666666666667,4.5,2,5.625,3,1,2.05,1.2,0.15,"Control"
"203",203,"Direct",19,1,2,1,"post",4.2,3.33333333333333,3.6,2,5.5,1,1,1.75,1,-0.15,"Direct"
"204",204,"Indirect",20,2,1,1,"post",3.8,2.66666666666667,2.15,5,3.75,4,1,3.15,2.8,-0.0500000000000003,"Indirect"
"205",205,"Control",18,1,2,2,"post",3.6,3.66666666666667,3.7,3,4.5,2,1,1.9,3.2,0,"Control"
"206",206,"Direct",19,2,2,1,"post",4,3.66666666666667,5.3,2,6.125,3,1,1.3,1.4,-0.25,"Direct"
"207",207,"Indirect",20,2,1,1,"post",2,3.66666666666667,4.15,3,5.375,2,1,2.2,1,-0.25,"Indirect"
"208",208,"Control",19,2,2,1,"post",2,2.66666666666667,4.55,4,4.5,5,2,1.75,3,0,"Control"
"209",209,"Direct",19,2,1,1,"post",3,4,5.1,2,6,1,1,1.05,1,-0.0999999999999999,"Direct"
"210",210,"Indirect",19,2,1,1,"post",4.2,4.33333333333333,5.6,3,6.5,4,1,1.6,1.4,-0.0315789473684209,"Indirect"
"211",211,"Control",18,1,2,2,"post",3.8,3.66666666666667,4.5,2,6.5,4,4,1.9,1.4,-0.2,"Control"
"212",212,"Direct",21,2,1,1,"post",3.2,3.66666666666667,4.45,5,5.5,1,1,2.3,1,-0.0157894736842108,"Direct"
