Hand #,Marked,Site,Date,Stake,My C Won,Final Hand,Hole Cards,PF Act,Flop,F Act,Turn,T Act,River,R Act,Winner,Winning Hand,Pot,Rake,won_cumul
213871000000,NA,PokerStars,5/18/2020 9:43,$1 NL (6 max),($1.00),(folded preflop),5s3c,F,JsQs9c,NA,Kh,NA,5h,NA,PeekieBlinder,"Two Pair, Jacks and Nines",$15.00,$0.75,756.85
213871000000,NA,PokerStars,5/18/2020 9:43,$1 NL (6 max),($1.00),(folded flop),Qc4s,X,Js8c2d,XF,0,NA,0,NA,12Gator12,(did not show hand),$2.50,$0.12,755.85
213871000000,NA,PokerStars,5/18/2020 9:43,$1 NL (6 max),$22.46,"Straight, Nine High",Ah6h,R,7c8c9d,B,5d,B,4s,B,Chip3ter,"Straight, Nine High",$48.24,$2.41,778.3100000000001
213871000000,NA,PokerStars,5/18/2020 9:44,$1 NL (6 max),$0.00,(folded preflop),3s2h,F,5d2d7c,NA,Td,NA,0,NA,maschers68,(did not show hand),$2.00,$0.10,778.3100000000001
213871000000,NA,PokerStars,5/18/2020 9:44,$1 NL (6 max),$0.00,(folded preflop),Tc2c,F,0,NA,0,NA,0,NA,maschers68,(did not show hand),$1.00,$0.00,778.3100000000001
213871000000,NA,PokerStars,5/18/2020 9:44,$1 NL (6 max),($0.50),(folded preflop),QcJc,F,8sTc3h,NA,Jh,NA,2s,NA,JDUBB0419,"One Pair, Queens",$162.14,$3.00,777.8100000000001
213871000000,NA,PokerStars,5/18/2020 9:44,$1 NL (6 max),($0.50),(folded preflop),Td5s,F,0,NA,0,NA,0,NA,wahmyknee,(did not show hand),$1.00,$0.00,777.3100000000001
213871000000,NA,PokerStars,5/18/2020 9:44,$1 NL (6 max),($1.00),(folded river),8d4d,X,6c9s3h,X,4h,X,7d,F,Estelle Getty,(did not show hand),$2.00,$0.10,776.3100000000001
213871000000,NA,PokerStars,5/18/2020 9:45,$1 NL (6 max),$0.00,(folded preflop),Ks5d,F,Qd3sTd,NA,0,NA,0,NA,JDUBB0419,(did not show hand),$24.00,$1.20,776.3100000000001
213871000000,NA,PokerStars,5/18/2020 9:45,$1 NL (6 max),($0.50),(folded preflop),Qd6h,F,0,NA,0,NA,0,NA,wahmyknee,(did not show hand),$1.00,$0.00,775.8100000000001
213871000000,NA,PokerStars,5/18/2020 9:45,$1 NL (6 max),($14.00),(folded river),As2s,C,3h4sTs,C,8h,C,2d,F,avan1911,(did not show hand),$30.00,$1.50,761.8100000000001
213871000000,NA,PokerStars,5/18/2020 9:45,$1 NL (6 max),$0.50,(did not show hand),JhTd,NA,0,NA,0,NA,0,NA,Chip3ter,(did not show hand),$1.00,$0.00,762.3100000000001
213871000000,NA,PokerStars,5/18/2020 9:45,$1 NL (6 max),($0.50),(folded preflop),Qd6s,F,0,NA,0,NA,0,NA,Estelle Getty,(did not show hand),$2.50,$0.00,761.8100000000001
213871000000,NA,PokerStars,5/18/2020 9:46,$1 NL (6 max),$0.00,(folded preflop),Kd8h,F,0,NA,0,NA,0,NA,johntozz1,(did not show hand),$1.00,$0.00,761.8100000000001
213871000000,NA,PokerStars,5/18/2020 9:46,$1 NL (6 max),($3.00),(folded flop),ThTc,R,As3cJc,XF,7c,NA,0,NA,PocketEvs11,(did not show hand),$24.00,$1.20,758.8100000000001
